,,Other,,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
台南大飯店,"1,824","33,687",60.72%,"1,455","49,028,997","150,563,146","228,978,572",466,"1,226",530,0,"2,222",,
Hotel Tainan,,,,,,,,,,,,,,
娜路彎大酒店,"3,312","66,120",65.63%,"2,827","186,919,902","76,731,304","276,078,223",525,610,424,598,"2,157",,
Formosan Naruwan Hotel & Resort Taitung,,,,,,,,,,,,,,
大億麗緻酒店,"3,780","65,589",57.05%,"2,871","188,289,967","313,302,613","552,833,375",989,"2,130",717,0,"3,836",,
Tayih Landis Tainan,,,,,,,,,,,,,,
台糖長榮酒店(台南),"2,364","49,904",69.40%,"2,378","118,679,733","262,183,599","391,889,452",686,897,234,240,"2,057",,
Evergreen Plaza Hotel(Tainan),,,,,,,,,,,,,,
耐斯王子大飯店,"2,940","54,703",61.17%,"2,496","136,529,029","169,916,031","325,567,799",714,"1,068",163,394,"2,339",,
Nice Prince Hotel,,,,,,,,,,,,,,
高雄義大皇冠假日飯店,"3,668","45,838",40.79%,"2,977","136,466,720","145,128,770","307,495,779",956,"1,700",842,258,"3,756",,
Crowne Plaza Kaohsiung E-DA World,,,,,,,,,,,,,,
蘭城晶英酒店,"2,316","36,878",52.35%,"3,785","139,589,771","165,959,246","364,155,569",872,"1,259",520,270,"2,921",,
Silks Place Yilan,,,,,,,,,,,,,,
長榮鳳凰酒店(礁溪),"2,541","39,805",51.59%,"5,324","211,922,736","160,443,539","457,718,562","1,109",996,614,541,"3,260",,
Evergreen Resort Hotel(Jiaosi),,,,,,,,,,,,,,
香格里拉台南遠東國際大飯店,"3,996","81,269",66.86%,"2,667","216,732,462","232,589,012","504,312,283","1,517","2,163",892,264,"4,836",,
"Shangri-La's Far Eastern Plaza Hotel,Tainan",,,,,,,,,,,,,,
幼獅大飯店,627,"3,792",19.88%,"1,109","4,203,660",0,"4,447,800",36,3,24,36,99,,
Lion Hotel,,,,,,,,,,,,,,
